"Table 3: Estimated population by sex, five year age group and administrative area, mid-2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,Persons
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,Area
S08000022,Highland,"321,700",,"14,426","16,447","17,632","16,415","16,442","16,492","17,092","18,437","17,665","21,220","25,198","25,550","23,386","21,610","20,379","14,443","10,014","5,886","2,966",,Highland
S08000032,Lanarkshire,"661,900",,"34,844","37,747","38,439","36,021","38,150","39,927","40,197","43,303","40,308","46,692","51,583","49,881","43,003","36,548","32,449","23,078","16,465","9,010","4,255",,Lanarkshire
S08000024,Lothian,"907,580",,"46,126","50,058","47,483","44,668","65,298","77,461","74,344","66,392","57,555","59,631","61,396","58,448","49,766","42,745","39,714","27,199","20,286","12,330","6,680",,Lothian
S08000025,Orkney,"22,270",,986,"1,134","1,249","1,024","1,036","1,191","1,295","1,191","1,206","1,478","1,794","1,773","1,607","1,480","1,394","1,103",721,396,212,,Orkney Islands
S08000026,Shetland,"22,920",,"1,189","1,374","1,381","1,196","1,140","1,283","1,398","1,337","1,386","1,621","1,698","1,700","1,531","1,375","1,259",947,607,320,178,,Shetland Islands
S08000030,Tayside,"417,470",,"19,585","21,951","21,808","22,501","27,107","28,428","26,341","25,079","22,071","25,738","29,880","30,288","27,002","24,471","23,742","16,739","12,616","7,793","4,330",,Tayside
S08000028,Western Isles,"26,720",,"1,124","1,342","1,481","1,282","1,108","1,126","1,312","1,382","1,560","1,847","2,127","2,134","2,000","1,904","1,762","1,325",974,574,356,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,,Males
Males,,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
S92000003,Scotland,"2,663,003",,"139,982","153,297","150,487","144,172","176,066","191,145","182,635","172,624","156,790","174,812","193,940","190,775","166,852","144,460","132,339","87,886","59,848","31,482","13,411",,Scotland
,Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
S12000033,Aberdeen City,"113,797",,"6,009","5,969","5,218","4,974","8,508","11,474","11,449","9,247","7,471","7,036","7,154","6,886","6,250","5,201","4,457","2,822","2,032","1,156",484,,Aberdeen City
S12000034,Aberdeenshire,"129,940",,"7,304","8,155","8,176","7,183","6,672","6,796","7,365","8,341","8,414","9,551","9,928","9,667","8,524","7,457","7,021","4,388","2,900","1,473",625,,Aberdeenshire
S12000041,Angus,"56,724",,"2,859","3,104","3,207","3,229","3,131","3,108","2,946","3,182","3,053","3,722","4,272","4,439","3,845","3,719","3,583","2,460","1,605",908,352,,Angus
S12000035,Argyll and Bute,"42,747",,"1,820","2,082","2,246","2,294","2,876","2,355","1,927","2,190","2,230","2,572","3,269","3,469","3,214","3,022","2,927","2,036","1,294",677,247,,Argyll & Bute
S12000036,City of Edinburgh,"256,303",,"12,701","13,424","12,262","12,232","21,075","26,129","25,229","20,750","17,247","16,264","16,113","15,149","12,817","10,849","9,515","6,054","4,545","2,662","1,286",,City of Edinburgh
S12000005,Clackmannanshire,"25,343",,"1,373","1,452","1,480","1,449","1,513","1,480","1,432","1,450","1,478","1,779","2,043","1,960","1,635","1,539","1,430",880,574,269,127,,Clackmannanshire
